"","Temperature","L","R","A_M","Color","Spectral_Class","Type"
"106",5800,0.81,0.9,5.05,"yellow-white","F",3
"107",16787,246730,62,-6.35,"Blue","O",4
"108",2650,6e-04,0.14,11.782,"Red","M",1
"109",3511,0.00064,0.109,17.12,"Red","M",0
"110",2774,0.00036,0.118,17.39,"Red","M",0
"111",3605,126000,1124,-10.81,"Red","M",5
"112",2861,0.00019,0.0899,16.71,"Red","M",0
"113",5752,245000,97,-6.63,"Blue","O",4
"114",12990,8.5e-05,0.00984,12.23,"Yellowish White","F",2
"115",13340,0.00109,0.0116,12.9,"Blue","B",2
"116",12100,120000,708.9,-7.84,"Blue-white","B",5
"117",3574,2e+05,89,-5.24,"Red","M",4
"118",3441,0.039,0.351,11.18,"Red","M",1
"119",3399,117000,1486,-10.92,"Red","M",5
"120",25390,223000,57,-5.92,"Blue","O",4
"121",8250,9.25,1.93,-0.98,"yellow-white","F",3
"122",12984,0.00088,0.00996,11.23,"Blue White","B",2
"123",37800,202900,6.86,-4.56,"Blue","O",3
"124",17383,342900,30,-6.09,"Blue","O",4
"125",2700,0.00018,0.13,16.05,"Red","M",0
"126",9235,404940,1112,-11.23,"White","A",5
"127",2989,0.0087,0.34,13.12,"Red","M",1
"128",30000,28840,6.3,-4.2,"Blue-white","B",3
"129",21020,0.0015,0.0112,11.52,"Blue","B",2
"130",14060,1092,5.745,-2.04,"Blue-white","A",3
"131",3142,0.00132,0.258,14.12,"Red","M",1
"132",3523,0.000957,0.129,16.35,"Red","M",0
"133",11900,0.00067,0.00898,11.38,"Blue white","B",2
"134",6757,1.43,1.12,2.41,"yellow-white","F",3
"135",2935,0.00014,0.116,18.89,"Red","M",0
"136",3225,0.00076,0.121,19.63,"Red","M",0
"137",11790,0.00015,0.011,12.59,"Yellowish White","F",2
"138",3341,0.0056,0.057,16.23,"Red","M",0
"139",3134,4e-04,0.196,13.21,"Red","M",1
"140",2889,0.000352,0.0973,16.93,"Red","M",0
"141",33421,352000,67,-5.79,"Blue","O",4
"142",3575,123000,45,-6.78,"Red","M",4
"143",3610,132000,1522,-10.86,"Red","M",5
"144",3490,270000,1520,-9.4,"Red","M",5
"145",8927,239000,35,-7.34,"Blue","O",4
"146",3146,0.00015,0.0932,16.92,"Red","M",0
"147",36108,198000,10.2,-4.4,"Blue","O",3
"148",4526,0.153,0.865,6.506,"yellowish","K",3
"149",9030,45,2.63,1.45,"Blue-white","A",3
"150",8570,0.00081,0.0097,14.2,"Blue white","A",2
"151",2945,0.00032,0.093,18.34,"Red","M",0
"152",3324,0.0065,0.471,12.78,"Red","M",1
"153",7220,0.00017,0.011,14.23,"White","F",2
"154",15276,1136,7.2,-1.97,"Blue-white","B",3
"155",3453,0.000621,0.0773,17.08,"Red","M",0
"156",30839,834042,1194,-10.63,"Blue","O",5
"157",8945,38,2.487,0.12,"Blue-White","A",3
"158",3192,0.00362,0.1967,13.53,"Red","M",1
"159",3660,363000,1673,-11.92,"Red","M",5
"160",2800,2e-04,0.16,16.65,"Red","M",0
"161",7230,8e-05,0.013,14.08,"Pale yellow orange","F",2
"162",3834,272000,1183,-9.2,"Red","M",5
"163",12912,0.00071,0.00945,12.83,"Blue white","B",2
"164",22350,12450,6.36,-3.67,"Blue-white","B",3
"165",18290,0.0013,0.00934,12.78,"Blue","B",2
"166",38234,272830,1356,-9.29,"Blue","O",5
"167",3553,145000,1324,-11.03,"Red","M",5
"168",5587,0.819,0.99,5.03,"yellow-white","F",3
"169",3180,0.001,0.35,11.76,"Red","M",1
"170",14245,231000,42,-6.12,"Blue","O",4
"171",13420,0.00059,0.00981,13.67,"Blue White","B",2
"172",8500,5e-04,0.01,14.5,"White","A",2
"173",2968,0.000461,0.119,17.45,"Red","M",0
"174",3749,550000,1648,-8.05,"Orange","M",5
"175",3550,0.004,0.291,10.89,"Red","M",1
"176",23000,127000,36,-5.76,"Blue","O",4
"177",3324,0.0034,0.34,12.23,"Red","M",1
"178",11096,112000,12,-5.91,"Blue","O",4
"179",3365,340000,23,-6.2,"Red","M",4
"180",13023,998,6.21,-1.38,"Blue-white","A",3
